Solvent,Note,Value
HMPA,*2,"pKa was determined from paH in the solutions containing the acid, its conjugate base and 0.5M NaClO4. The hydrogen electrode was calibrated in dil. HClO4 (completely dissociated). "
HMPA,*3,pKa was determined from the half-wave potential for the reduction of the acid at a platinum electrode in 0.5M NaClO4 saturated with hydrogen. pKa(chloroacetic acid)=8.0 was used as reference. 
HMPA,*4,"Emfs of two cells, glass electrode/HCl(HMPA)/AgCl,Ag and glass electrode/Bu4NOH(HMPA)/AgCl,Ag were measured by varying the HCl and the Bu4NOH concentrations. The results were used to determine the standard emf and pKs. "
MiBK,*0,"In the pKa values column, pKa values followed by capital letter A have been referred, directly or indirectly, to the following standards: A: pKa(HClO4)=4.5, pKa(HPic)=11.0. "
MiBK,*00,"Note on a small letter in the Water Content column: a Basic impurity, estimated spectrophotometrically by the addition of HPic, was less than 8 x 10-5 M."
MiBK,*1,HClO4 in anhydrous acetic acid was diluted with MIBK immediately  before measurements.
MiBK,*1a,pKa was obtained by the Shedlovsky or the Davies method. Kf(HA2-) was obtained by the French and Roe method.
MiBK,*2,"paH values in the mixtures of the acid and its conjugate base (R4N+salt) or the base and its conjugate acid (picrate or perchlorate) were measured, using a glass electrode calibrated in mixtures of HClO4(pKa=4.5) and Bu4NClO4. The effect of incomplete salt dissociation was taken into account in getting pKa from the paH at half-neutralization. "
MiBK,*3,"The hydration constants of the proton with 1, 2, 3 and 4 water molecules were determine to be Kf1w= 3 x 10^4, Kf2w= 5 x 10^4, Kf3w= 5 x 10^4, and Kf4w = 3.5 x 10^4. "
MiBK,*4,The glass electrode was calibrated in a 1:2 mixture of HPic(pKa = 11.0) and Et4NPic. 
MiBK,*5,"To 100 ml of the 10-5M indicator solution, 0.01M HClO4 was added in small doses. After each addition, the solution was measured potentiometrically as well as spectrophotometrically. "
MiBK,*5a,Simultaneous potentiometric and spectrophotometric measurements were carried out during the titration of the indicator with Bu4NOH(in 9:1 benzene-MeOH). 
MiBK,*6,pKa was estimated from the potential at half-neutralization of the base with 0.1M HClO4  of the acid with Bu4NOH (in 9:1 benzene-MeOH). Real pKa values may deviate to some extent from the values in the table because of the incomplete salt dissociation in MIBK. 
NMP,*0,"In the pKa values column, pKa values followed by a same capital letter have been referred, directly or indirectly, to the same standard(s)*.  A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol) =5.33,  [pKa(benzoic acid)=13.3),  B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3,  C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0).  * Fairly big discrepancies are observed between pKa values reported from different laboratories. This may be caused, in part, by complicating factors, such as homoconjugation and ion-association. The incomplete solvent purification may also cause the disagreements [80B]."
NMP,*00,"Note on the small letters in the Water Content column:  a: Contents of water and other impurities were not reported, though the solvent was carefully purified. b: Concentrations of acidic and basic impurities were 2.1 x 10-3N and 1.6 x 10-3N, respectively. "
NMP,*1,Complete dissociation of the acid (0.01 Mto 0.002M) was concluded from the Nernstian response of the glass electrode. 
NMP,*2,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). "
NMP,*3,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H)"
NMP,*4,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.
NMP,*5,pKa was obtained by direct spectrophotometric measurements. 
NMP,*6,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). 
NMP,*7,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33)."
NMP,*8,The influence of ion-association was taken into account. 
NMP,*9,Values reported in other literatures.
NMP,*10,The Fuoss and Kraus equation was used.
NMP,*11,"Emfs of two cells, glass electrode/HCl(NMP)/AgCl,Ag and glass electrode/Bu4NOH(NMP)/AgCl,Ag, were measured by varying the HCl and the Bu4NOH concentrations. The results were used to determine the standard emf and pKs."
NMP,*12,"pKa values of the following sterically hindered phenols, bisphenols, and hydroxyphenyl ketones were determined by potentiometry with a glass electrode, using pKa(benzoic acid)=12.3) as reference[73K]."
nitromethane,*0," In the pKa values column, pKa values followed by the same capital letter have been referred, directly or indirectly, to the same standard.  A: pKa(1,3-diphenylguanidine)=17.2.  B: pKa(1,3-diphenylguanidine)=14.5.  C: pKa(HPic)=7.94 (see *1c).  D: pKa(HPic)=7.67. "
nitromethane,*1,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5."
nitromethane,*1a,"As in *1, but after making a statistical correction."
nitromethane,*1b,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. "
nitromethane,*1c,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. "
nitromethane,*1d,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. "
nitromethane,*2,"In the potentiometric titration of the base with HClO4, two potential jumps were observed at 50% and 100% neutralization points, showing the formation of stable B2H+. pKa and logKf(B2H+) were obtained by pKa = 0.5(pH25 + pH75) and logKf(B2H+) = 0.5(pH25 - pH75) - logC, respectively, where pH25 and pH75 are the pH at 25 and 75% neutralizations and C is the initial concentration of the base."
nitromethane,*3,Table: pKa for the conjugate acids of substituted benzylideneanilines(B)
nitromethane,*4,Table: pKa and logKf(B2H+) for tertiary phosphine oxides (B)  (Ref. 69S); pKa's were referred to pKa(DPhG)=17.2[group A]; see *1 and *2. 
nitromethane,*5,Table: pKa for tetraalkyl{aryl)-methylenediphosphine dioxides(B) (R2P(O)-CH2-P(O)R2) (Ref. 68M); referred to pKa(DPhG)=17.2 [group A]; see *1 and *6).
nitromethane,*6,Table: pKa for tetraalkyl(aryl)-alkylenediphosphine dioxides(B) [R2P(O)-CH2n-P(O)R2] (Ref. 72K); referred to pKa(DPhG)=17.2 [group A]. Moisture was more carefully reduced than in 5*.
nitromethane,*7,Table: pKa for tetraphenylmethylene diphosphine dioxides(B) [Ph2P(O)]2CHR (Ref 72M); referred to pKa(DPhG)=17.2 [group A]; see *1. 
nitromethane,*8,"pKa values for P,P'-methylenebis[phosphine imides](B) reported in ref. 71K1 (standard: pKa(DPhG)=17.2). "
nitromethane,*9,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. 
nitromethane,*10,"Table: pKa of phosphorus monothioacids [ABP(S)OH] (A) (Ref. 76K1), referred to pKa(HPic)=7.94 [group C]. "
nitromethane,*11,The Shedlovsky method was used. 
nitromethane,*12,The Kraus and Bray method was used.
nitromethane,*13,"pKs was obtained by pKs>= (Es/59) - log c(HClO4)c(R4NOH), where Es(in mV) is the difference between the half-neutralization potentials of HClO4 and R4NOHat concentrations c(HClO4) and c(R4NOH) at the instant of half-neutralization."
nitromethane,*14,"pKa and Kf(HA2-) were obtained from paH - log(Ca/Cs) relations for the acid and its tetraphenylarsonium salt by the method of Kalthoff and Chantooni [J. Am. Chem. Soc., 87, 4428 (1965)]. pKa was referred to pKa(HPic)=7.67."
nitromethane,*15,Table: pKa for tertiary arsine oxides(B) (at 20 deg. C) (Ref. 79L); obtained by potentiometric titration with HClO4 using pKa(DPhG)=18.1 as reference).
sulfolane,*0,"In the pKa values column, pKa values followed by capital letter A have been referred, directly or indirectly, to the following standards:  A: pKa(HPiC)=17.4, pKa(benzoic acid)=26.3. "
sulfolane,*00,Acidic impurity of 5 x 10-6N and basic impurity of less than 1 x 10-6 were contained. 
sulfolane,*1,"The standard potential of the hydrogen electrode, determined in anhydrous HClO4  solutions, was +0.075 V vs. Ag/0.1M AgClO4(SL) and used as reference. pKa was obtained from the potentials of the hydrogen and/or the glass electrodes in0.01M HA-0.01M Et4Na, assuming the Nemstian response of the electrodes. Benoit and Pichet[73B] obtained -0.10 V vs. Ag/0.1M AgClO4 as the standard potential of the hydrogen electrode. If based on this value, the pKa value should become smaller by ca. 3 units. "
sulfolane,*1a,The completely hydrated glass electrode was used after calibration in buffer solutions of picric acid (pKa = 17.4) and benzoic acid (pKa = 26.3). The temperature of the solution was not given.
sulfolane,*2,"For the method to obtain Kf(HA2-) and Kf(H2A3-), see ref. 73C."
sulfolane,*3,The solution of H2S2O7 was unstable.
sulfolane,*4,"The solution of anhydrous HCl was titrated potentiometrically with  anhydrous AgClO4 solution in SL, using an Ag indicator electrode. For details of the data acquisition, see ref. 73C. "
sulfolane,*5,An approximate value obtained by assuming Kf(HA2-) = 350. 
sulfolane,*6,Corrected for the effect of hydronium perchlorate (H3O+ClO4-).
sulfolane,*7,Based on the complete dissociation of HSbCl6. 
sulfolane,*8,"pKa was obtained from the -log[Pic-] vs. -logC plot (C: analytical concentration of HPic). Simple dissociation occurred at C< 0.08 M, but at higher concentrations more complicated equilibria were observed. (cf. P.M.P. Eller and J.A. Caruso, Can. J. Chem., 51, 448 (1973)). "
sulfolane,*9,Unpublished results by R. Meilleur and J. Charbonneau.
sulfolane,*10,"Emfs of two cells, glass electrode/HCl(SL)/AgCl,Ag and glass electrode/Bu4NOH(SL)/AgCl,Ag, were measured by varying the HCl and Bu4NOH concentrations. The results were used to determine the standard emf and pKs."
